Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,season
Paul Millsap,PF,34,DEN,51,48,1240,8.4,17.5,.482,2.2,4.9,.435,6.3,12.5,.500,4.6,5.6,.816,3.9,7.8,11.7,3.3,1.8,1.2,2.8,6.0,23.6,,116,110,2020
Juwan Morgan,PF,22,UTA,21,0,134,5.4,9.4,.577,1.1,2.9,.375,4.4,6.5,.667,1.1,1.5,.750,3.6,6.9,10.5,2.2,0.4,0.7,2.2,6.9,13.1,,121,112,2020
Marcus Morris,PF,30,LAC,19,19,549,6.4,15.0,.425,2.2,7.2,.310,4.1,7.7,.533,1.5,1.9,.818,0.9,5.8,6.7,2.3,1.1,1.1,2.1,4.5,16.5,,101,109,2020
Markieff Morris,PF,30,TOT,58,17,1187,8.4,18.9,.443,3.6,9.4,.386,4.7,9.5,.500,2.7,3.5,.776,1.6,7.3,9.0,3.2,1.3,0.7,3.1,5.5,23.1,,105,112,2020
Markieff Morris,PF,30,DET,44,16,988,8.7,19.4,.450,3.7,9.4,.397,5.0,10.0,.500,3.0,3.9,.772,1.2,7.4,8.6,3.4,1.3,0.5,3.5,5.2,24.2,,104,113,2020
Markieff Morris,PF,30,LAL,14,1,199,6.7,16.5,.406,3.1,9.3,.333,3.6,7.2,.500,1.2,1.4,.833,3.8,6.9,10.8,1.9,1.2,1.4,1.4,6.9,17.7,,110,107,2020
Johnathan Motley,PF,24,LAC,13,0,41,12.7,17.3,.733,1.2,1.2,1.000,11.5,16.1,.714,5.8,8.1,.714,3.5,8.1,11.5,9.2,3.5,0.0,5.8,6.9,32.3,,132,104,2020
Mike Muscala,C,28,OKC,47,2,572,6.5,16.1,.407,4.6,12.1,.378,2.0,3.9,.500,1.5,1.9,.818,1.4,7.8,9.2,3.4,0.8,1.0,1.4,4.9,19.2,,114,110,2020
Larry Nance Jr.,C,27,CLE,56,10,1472,7.6,14.2,.531,1.9,5.3,.352,5.7,9.0,.636,1.7,2.4,.676,3.5,10.0,13.5,4.1,1.9,0.7,2.0,3.0,18.6,,122,113,2020
Georges Niang,PF,26,UTA,66,1,923,7.4,17.0,.438,4.7,11.9,.400,2.7,5.1,.526,1.1,1.3,.833,0.8,5.9,6.7,2.3,0.9,0.3,1.6,4.0,20.7,,113,112,2020
Joakim Noah,C,34,LAC,5,0,50,3.8,7.6,.500,0.0,0.0,,3.8,7.6,.500,5.7,7.6,.750,4.7,10.4,15.1,6.6,0.9,0.9,5.7,8.5,13.2,,107,107,2020
Nerlens Noel,C,25,OKC,61,7,1127,7.9,11.6,.684,0.0,0.1,.333,7.9,11.5,.688,3.4,4.6,.755,3.9,9.0,12.9,2.5,2.5,3.9,2.8,7.2,19.4,,127,102,2020
Jusuf Nurkić,C,25,POR,8,8,253,10.2,20.5,.495,0.4,1.9,.200,9.8,18.6,.525,5.8,6.6,.886,4.3,11.1,15.4,6.0,2.1,3.0,3.6,7.3,26.6,,116,108,2020
Royce O'Neale,PF,26,UTA,71,62,2049,3.8,8.7,.433,2.2,5.8,.377,1.6,2.9,.545,1.0,1.3,.764,0.6,8.6,9.2,4.3,1.4,0.8,1.4,4.8,10.7,,117,109,2020
Kyle O'Quinn,C,29,PHI,29,2,313,6.5,13.2,.494,1.1,4.2,.259,5.4,9.0,.603,1.7,3.1,.550,5.3,12.7,18.0,7.9,1.1,3.7,3.1,5.7,15.8,,117,104,2020
Semi Ojeleye,PF,25,BOS,69,6,1011,3.8,9.4,.408,2.3,6.1,.378,1.5,3.3,.464,1.3,1.5,.875,1.2,5.7,6.9,1.8,1.0,0.2,0.9,3.8,11.3,,116,111,2020
Jahlil Okafor,C,24,NOP,30,9,467,10.0,16.1,.623,0.1,0.3,.333,9.9,15.8,.629,4.0,6.1,.645,4.8,7.8,12.6,3.7,0.7,2.2,3.8,6.6,24.1,,117,112,2020
Kelly Olynyk,C,28,MIA,67,9,1300,6.9,14.9,.462,3.6,8.8,.406,3.3,6.2,.543,3.2,3.8,.860,1.7,9.8,11.5,4.4,1.7,0.9,2.7,6.5,20.6,,116,108,2020
Tariq Owens,PF,24,PHO,3,0,15,3.2,15.8,.200,0.0,6.3,.000,3.2,9.5,.333,6.3,6.3,1.000,6.3,3.2,9.5,0.0,3.2,0.0,0.0,3.2,12.6,,96,111,2020
Jabari Parker,PF,24,TOT,38,23,917,11.2,21.9,.510,1.6,6.1,.269,9.5,15.8,.603,3.1,4.1,.753,3.1,7.8,10.9,3.5,2.3,0.8,3.3,5.0,27.1,,108,112,2020
Jabari Parker,PF,24,ATL,32,23,837,11.0,21.9,.504,1.7,6.4,.270,9.3,15.5,.601,3.0,4.0,.736,3.0,7.6,10.6,3.2,2.3,0.8,3.3,5.2,26.7,,106,113,2020
Jabari Parker,PF,24,SAC,6,0,80,12.7,21.8,.583,0.6,2.4,.250,12.1,19.4,.625,4.9,5.5,.889,4.2,9.7,13.9,6.1,1.8,0.6,2.4,3.6,30.9,,129,110,2020
Eric Paschall,PF,23,GSW,60,26,1654,9.2,18.5,.497,1.1,3.7,.287,8.1,14.8,.550,4.7,6.1,.774,2.4,5.6,8.0,3.7,0.9,0.4,2.7,3.6,24.2,,110,117,2020
Anžejs Pasečņiks,C,24,WAS,27,0,437,6.5,12.4,.526,0.0,0.3,.000,6.5,12.1,.540,3.6,6.2,.586,4.5,7.0,11.4,1.9,1.0,1.3,2.6,8.0,16.7,,109,116,2020
Patrick Patterson,PF,30,LAC,59,18,776,5.8,14.2,.408,4.1,10.5,.390,1.7,3.7,.459,2.1,2.6,.814,2.1,7.1,9.2,2.5,0.4,0.2,1.3,3.3,17.8,,119,111,2020
Justin Patton,C,22,OKC,5,0,24,8.1,20.2,.400,2.0,8.1,.250,6.1,12.1,.500,0.0,0.0,,2.0,8.1,10.1,4.0,0.0,0.0,4.0,8.1,18.2,,86,113,2020
Norvel Pelle,C,26,PHI,24,0,232,5.2,10.0,.521,0.0,0.2,.000,5.2,9.8,.532,1.5,2.9,.500,4.2,10.9,15.0,1.7,0.6,6.5,3.8,11.5,11.9,,94,102,2020
Mason Plumlee,C,29,DEN,61,1,1057,8.3,13.5,.615,0.0,0.2,.000,8.3,13.2,.625,3.9,7.2,.535,4.6,10.2,14.8,7.2,1.5,1.8,3.8,6.7,20.4,,118,108,2020
Jakob Poeltl,C,24,SAS,66,18,1171,6.8,10.9,.624,0.0,0.0,,6.8,10.9,.624,1.6,3.5,.465,5.3,10.0,15.3,4.7,1.5,3.9,2.2,5.1,15.2,,125,108,2020
Vincent Poirier,C,26,BOS,22,0,130,6.3,13.4,.472,0.4,0.7,.500,5.9,12.6,.471,2.2,2.6,.857,4.8,11.1,16.0,3.0,0.7,3.3,3.0,9.3,15.2,,107,104,2020
Michael Porter Jr.,PF,21,DEN,55,8,903,10.7,21.0,.509,3.4,8.0,.422,7.3,12.9,.564,3.3,3.9,.833,3.6,10.6,14.2,2.5,1.5,1.4,2.7,5.5,28.0,,118,109,2020
Bobby Portis,C,24,NYK,66,5,1393,9.3,20.6,.450,2.3,6.5,.358,6.9,14.1,.493,2.5,3.3,.763,2.8,9.0,11.8,3.4,1.1,0.6,2.6,3.8,23.3,,107,113,2020
Kristaps Porziņģis,PF,24,DAL,57,57,1814,10.6,24.8,.427,3.8,10.7,.352,6.8,14.1,.484,6.0,7.5,.799,2.7,11.7,14.4,2.7,1.1,3.1,2.5,4.9,31.0,,111,107,2020
Dwight Powell,C,28,DAL,40,37,1061,6.7,10.4,.638,0.5,1.8,.256,6.2,8.7,.716,3.4,5.1,.667,3.4,6.9,10.3,2.7,1.5,1.0,1.6,4.6,17.1,,134,111,2020
Julius Randle,PF,25,NYK,64,64,2080,10.8,23.5,.460,1.5,5.4,.277,9.3,18.1,.515,6.0,8.2,.733,3.5,11.0,14.6,4.6,1.2,0.5,4.5,4.2,29.2,,105,112,2020
Naz Reid,C,20,MIN,30,11,495,9.4,22.8,.412,3.0,9.1,.330,6.4,13.7,.466,3.5,5.0,.698,3.2,8.4,11.6,3.3,1.8,2.1,2.1,7.8,25.2,,105,110,2020
Mitchell Robinson,C,21,NYK,61,7,1412,8.7,11.8,.742,0.0,0.0,,8.7,11.8,.742,2.9,5.1,.568,6.4,8.3,14.8,1.2,1.8,4.1,1.3,6.7,20.3,,144,107,2020
Domantas Sabonis,C,23,IND,62,62,2159,10.3,19.1,.540,0.4,1.5,.254,9.9,17.6,.565,4.8,6.7,.723,4.2,13.1,17.3,7.0,1.1,0.7,3.8,4.4,25.8,,115,106,2020
Luka Šamanić,PF,20,SAS,3,1,48,5.0,15.9,.313,3.0,8.0,.375,2.0,8.0,.250,3.0,4.0,.750,1.0,9.0,10.0,6.0,0.0,2.0,2.0,6.0,15.9,,98,115,2020
Dario Šarić,PF,25,PHO,66,51,1632,7.4,15.6,.476,2.4,6.8,.357,5.0,8.8,.568,3.1,3.7,.844,2.9,8.9,11.8,3.6,1.1,0.5,2.6,4.5,20.4,,114,112,2020
Mike Scott,PF,31,PHI,68,11,1207,6.0,14.1,.426,3.2,8.7,.369,2.8,5.3,.519,1.2,1.5,.811,2.6,7.3,10.0,2.2,0.8,0.2,1.0,3.9,16.4,,117,112,2020
Thabo Sefolosha,PF,35,HOU,41,0,436,3.9,9.7,.407,1.6,5.7,.278,2.3,3.9,.595,0.3,0.8,.375,2.2,7.6,9.9,2.7,2.5,1.3,1.6,4.6,9.8,,103,107,2020
Pascal Siakam,PF,25,TOR,60,60,2110,11.3,24.9,.453,3.0,8.2,.359,8.3,16.7,.499,5.4,6.8,.792,1.4,8.5,9.9,4.7,1.4,1.2,3.3,3.8,30.9,,107,105,2020
Chris Silva,PF,23,MIA,44,0,346,6.8,11.0,.615,0.0,0.4,.000,6.8,10.6,.640,5.2,7.8,.673,8.5,9.3,17.8,3.2,1.3,3.0,4.5,12.0,18.8,,120,106,2020
Alen Smailagić,PF,19,GSW,14,0,139,6.9,13.8,.500,1.0,4.5,.231,5.9,9.3,.630,5.5,6.5,.842,3.4,5.9,9.3,4.5,1.0,1.4,3.8,4.8,20.3,,112,115,2020
Omari Spellman,PF,22,GSW,49,3,886,6.9,15.9,.431,2.3,5.9,.391,4.5,10.0,.454,3.9,5.0,.793,4.2,7.7,11.8,2.5,1.8,1.3,2.9,3.4,20.0,,107,112,2020
Caleb Swanigan,PF,22,TOT,27,1,288,4.6,7.8,.596,0.0,0.3,.000,4.6,7.5,.622,1.5,2.8,.529,4.5,12.1,16.6,5.1,0.5,1.2,6.1,10.3,10.8,,95,113,2020
Caleb Swanigan,PF,22,SAC,7,0,23,4.2,8.4,.500,0.0,0.0,,4.2,8.4,.500,2.1,4.2,.500,4.2,10.5,14.8,4.2,2.1,4.2,12.7,16.9,10.5,,61,104,2020
Caleb Swanigan,PF,22,POR,20,1,265,4.7,7.7,.605,0.0,0.4,.000,4.7,7.4,.634,1.4,2.7,.533,4.5,12.2,16.7,5.2,0.4,0.9,5.6,9.7,10.8,,99,114,2020
Jayson Tatum,PF,21,BOS,66,66,2265,11.8,26.1,.450,4.0,10.0,.403,7.7,16.1,.480,5.4,6.7,.812,1.4,8.4,9.8,4.3,2.0,1.2,3.3,2.9,33.0,,111,106,2020
Daniel Theis,C,27,BOS,65,64,1566,7.4,13.1,.566,1.0,3.0,.333,6.4,10.2,.633,2.7,3.5,.763,4.3,8.8,13.1,3.4,1.1,2.6,1.7,6.7,18.5,,130,105,2020
Tristan Thompson,C,28,CLE,57,51,1721,8.1,15.9,.512,0.3,0.7,.391,7.9,15.2,.518,2.8,4.6,.615,6.4,9.9,16.3,3.4,0.9,1.4,2.9,3.5,19.3,,112,114,2020
Anthony Tolliver,PF,34,TOT,55,13,872,3.5,9.9,.357,2.7,7.9,.338,0.9,2.0,.432,1.1,1.6,.724,1.9,6.5,8.4,2.3,1.0,0.6,1.9,4.0,10.9,,103,115,2020
Anthony Tolliver,PF,34,POR,33,9,554,3.7,10.1,.368,2.6,7.7,.337,1.1,2.4,.464,1.1,1.6,.684,2.3,7.1,9.5,2.5,0.7,0.8,1.8,4.6,11.1,,106,117,2020
Anthony Tolliver,PF,34,SAC,9,0,82,1.8,10.1,.176,1.2,8.9,.133,0.6,1.2,.500,0.6,1.2,.500,1.2,5.3,6.5,1.8,2.4,0.6,2.4,3.6,5.3,,57,112,2020
Anthony Tolliver,PF,34,MEM,13,4,236,3.8,9.5,.396,3.4,8.1,.415,0.4,1.4,.286,1.4,1.6,.875,1.0,5.5,6.5,2.0,1.4,0.2,1.8,2.8,12.3,,110,113,2020
Karl-Anthony Towns,C,24,MIN,35,35,1187,12.4,24.3,.508,4.5,10.8,.412,7.9,13.5,.586,7.0,8.8,.796,3.7,11.1,14.8,6.0,1.3,1.6,4.3,4.6,36.2,,121,110,2020
P.J. Tucker,PF,34,HOU,72,72,2467,3.3,8.0,.415,2.0,5.6,.358,1.3,2.4,.551,0.7,0.9,.813,2.1,6.8,8.9,2.2,1.4,0.7,1.4,4.3,9.4,,114,111,2020
Myles Turner,C,23,IND,62,62,1826,7.1,15.6,.457,2.3,6.6,.344,4.8,9.0,.540,3.4,4.5,.751,2.3,8.5,10.8,1.9,1.2,3.5,2.3,4.4,19.9,,108,105,2020
Jonas Valančiūnas,C,27,MEM,70,70,1845,10.9,18.7,.585,0.8,2.3,.352,10.1,16.4,.617,3.7,5.1,.740,5.4,14.6,19.9,3.3,0.8,1.9,3.2,4.7,26.4,,120,107,2020
Jarred Vanderbilt,PF,20,MIN,2,0,5,0.0,9.3,.000,0.0,9.3,.000,0.0,0.0,,18.6,18.6,1.000,0.0,9.3,9.3,0.0,0.0,0.0,0.0,0.0,18.6,,124,116,2020
Noah Vonleh,C-PF,24,TOT,36,1,377,6.4,11.4,.565,0.4,1.9,.200,6.1,9.5,.636,3.1,4.0,.781,4.6,10.8,15.3,3.5,1.4,0.7,2.6,4.9,16.3,,121,111,2020
Noah Vonleh,C,24,MIN,29,1,347,6.3,11.5,.547,0.3,1.9,.143,6.0,9.6,.625,3.1,3.7,.821,4.5,11.0,15.5,3.5,1.5,0.8,2.5,4.8,15.9,,119,111,2020
Noah Vonleh,PF,24,DEN,7,0,30,8.2,9.9,.833,1.6,1.6,1.000,6.6,8.2,.800,3.3,6.6,.500,4.9,8.2,13.2,3.3,0.0,0.0,3.3,6.6,21.4,,136,115,2020
Nikola Vučević,C,29,ORL,62,62,1998,12.0,25.2,.477,2.4,7.0,.339,9.6,18.1,.531,3.2,4.1,.784,3.4,13.0,16.4,5.4,1.3,1.1,2.1,3.3,29.6,,114,107,2020
Dean Wade,PF,23,CLE,12,0,71,6.2,8.9,.692,1.4,2.7,.500,4.8,6.2,.778,0.0,0.7,.000,2.1,11.0,13.0,1.4,1.4,2.7,2.1,5.5,13.7,,122,111,2020
Moritz Wagner,C,22,WAS,45,5,835,8.1,14.9,.545,1.4,4.5,.313,6.7,10.4,.645,4.4,5.3,.821,3.1,9.1,12.3,3.1,1.6,1.1,3.7,8.5,22.0,,114,113,2020
P.J. Washington,PF,21,CHO,58,57,1759,7.6,16.8,.455,2.4,6.6,.374,5.2,10.2,.507,2.5,3.9,.647,1.7,7.3,9.0,3.5,1.5,1.3,2.6,4.5,20.2,,105,112,2020
Hassan Whiteside,C,30,POR,67,61,2008,10.3,16.7,.621,0.1,0.2,.571,10.3,16.5,.622,3.9,5.7,.686,6.1,15.4,21.5,1.9,0.6,4.7,2.8,4.7,24.7,,125,107,2020
Grant Williams,PF,21,BOS,69,5,1043,4.0,9.8,.412,1.1,4.4,.250,2.9,5.3,.548,1.8,2.5,.722,2.7,5.5,8.2,3.1,1.4,1.7,2.3,7.5,11.0,,104,108,2020
Johnathan Williams,C,24,WAS,15,6,180,4.9,8.8,.559,0.0,0.5,.000,4.9,8.3,.594,1.8,3.4,.538,6.2,10.4,16.6,2.1,0.3,2.1,1.3,4.2,11.7,,126,115,2020
Kenrich Williams,PF,25,NOP,39,18,832,2.8,8.2,.347,1.4,5.4,.258,1.4,2.8,.520,0.5,1.4,.346,2.8,7.5,10.3,3.2,1.5,1.2,1.2,4.9,7.6,,103,111,2020
Marvin Williams,PF,33,TOT,58,1,1129,5.1,11.5,.446,2.4,6.7,.359,2.7,4.8,.568,2.1,2.5,.860,1.3,6.6,7.9,2.6,1.6,1.3,1.4,4.4,14.8,,116,110,2020
Marvin Williams,PF,33,CHO,41,1,808,5.8,13.0,.448,2.7,7.3,.376,3.1,5.8,.538,2.7,3.1,.860,0.9,5.8,6.8,2.5,1.6,1.4,1.6,4.4,17.1,,115,113,2020
Marvin Williams,PF,33,MIL,17,0,321,3.6,8.1,.439,1.7,5.5,.308,1.8,2.6,.722,0.9,1.0,.857,2.1,8.4,10.5,2.7,1.4,1.1,1.1,4.6,9.7,,119,103,2020
Robert Williams,C,22,BOS,29,1,388,8.0,10.9,.727,0.0,0.0,,8.0,10.9,.727,2.7,4.2,.647,5.0,10.9,15.9,3.4,2.7,4.4,2.6,6.3,18.7,,134,98,2020
Zion Williamson,PF,19,NOP,24,24,668,14.5,24.9,.583,0.4,1.0,.429,14.1,24.0,.590,7.9,12.3,.640,4.4,6.0,10.4,3.5,1.1,0.6,4.1,2.9,37.4,,115,114,2020
D.J. Wilson,PF,23,MIL,37,1,363,6.5,16.6,.394,2.3,9.2,.247,4.3,7.4,.576,1.4,2.3,.611,1.5,10.1,11.6,3.1,0.4,0.6,2.4,4.2,16.7,,94,105,2020
Christian Wood,PF,24,DET,62,12,1325,10.7,18.9,.567,2.0,5.2,.386,8.7,13.7,.636,6.7,9.0,.744,3.9,10.6,14.5,2.2,1.3,2.0,3.1,3.6,30.1,,123,110,2020
Thaddeus Young,PF,31,CHI,64,16,1591,8.1,18.2,.448,2.4,6.7,.356,5.8,11.5,.501,1.3,2.2,.583,2.8,6.7,9.5,3.5,2.8,0.7,3.1,4.1,20.0,,101,108,2020
Cody Zeller,C,27,CHO,58,39,1341,9.4,17.9,.524,0.7,2.8,.240,8.7,15.1,.577,4.6,6.7,.682,6.0,9.4,15.4,3.3,1.5,0.9,2.8,5.2,24.0,,116,111,2020
Tyler Zeller,C,30,SAS,2,0,4,11.9,47.8,.250,0.0,0.0,,11.9,47.8,.250,0.0,0.0,,35.8,11.9,47.8,0.0,0.0,0.0,0.0,0.0,23.9,,95,116,2020
Ante Žižić,C,23,CLE,22,0,221,9.0,15.9,.569,0.0,0.0,,9.0,15.9,.569,3.1,4.2,.737,4.0,10.6,14.5,1.3,1.5,1.1,2.2,5.9,21.1,,116,113,2020
Ivica Zubac,C,22,LAC,72,70,1326,8.4,13.7,.613,0.0,0.1,.000,8.4,13.7,.616,4.4,5.9,.747,7.0,12.3,19.4,2.9,0.6,2.4,2.2,6.0,21.2,,134,105,2020
